run:
The Start time is: 02.11.2017 - 00:09:58 and  229ms
### Start ###
Eingabe Plaintext: 	 {p1 =  9, p2 = 20}
Ciphertext: 		 {p1 = 25, p2 = 11}

Schlüssel # 80 gefunden: {a11 =  3, a12 = 22, a21 =  1, a22 = 17}, Determinante:   29 =   3 (mod 26), Invertierbar:  true
Schlüssel # 81 gefunden: {a11 =  3, a12 = 22, a21 =  3, a22 =  7}, Determinante:  -45 =   7 (mod 26), Invertierbar:  true
Schlüssel # 82 gefunden: {a11 =  3, a12 = 22, a21 =  3, a22 = 20}, Determinante:   -6 =  20 (mod 26), Invertierbar: false
Schlüssel # 83 gefunden: {a11 =  3, a12 = 22, a21 =  5, a22 = 10}, Determinante:  -80 =  24 (mod 26), Invertierbar: false
Schlüssel # 84 gefunden: {a11 =  3, a12 = 22, a21 =  5, a22 = 23}, Determinante:  -41 =  11 (mod 26), Invertierbar:  true
Schlüssel # 85 gefunden: {a11 =  3, a12 = 22, a21 =  7, a22 =  0}, Determinante: -154 =   2 (mod 26), Invertierbar: false
Schlüssel # 86 gefunden: {a11 =  3, a12 = 22, a21 =  7, a22 = 13}, Determinante: -115 =  15 (mod 26), Invertierbar:  true
Schlüssel # 87 gefunden: {a11 =  3, a12 = 22, a21 =  9, a22 =  3}, Determinante: -189 =  19 (mod 26), Invertierbar:  true
Schlüssel # 88 gefunden: {a11 =  3, a12 = 22, a21 =  9, a22 = 16}, Determinante: -150 =   6 (mod 26), Invertierbar: false
Schlüssel # 89 gefunden: {a11 =  3, a12 = 22, a21 = 11, a22 =  6}, Determinante: -224 =  10 (mod 26), Invertierbar: false
Schlüssel # 90 gefunden: {a11 =  3, a12 = 22, a21 = 11, a22 = 19}, Determinante: -185 =  23 (mod 26), Invertierbar:  true
Schlüssel # 91 gefunden: {a11 =  3, a12 = 22, a21 = 13, a22 =  9}, Determinante: -259 =   1 (mod 26), Invertierbar:  true
Schlüssel # 92 gefunden: {a11 =  3, a12 = 22, a21 = 13, a22 = 22}, Determinante: -220 =  14 (mod 26), Invertierbar: false
Schlüssel # 93 gefunden: {a11 =  3, a12 = 22, a21 = 15, a22 = 12}, Determinante: -294 =  18 (mod 26), Invertierbar: false
Schlüssel # 94 gefunden: {a11 =  3, a12 = 22, a21 = 15, a22 = 25}, Determinante: -255 =   5 (mod 26), Invertierbar:  true
Schlüssel # 95 gefunden: {a11 =  3, a12 = 22, a21 = 17, a22 =  2}, Determinante: -368 =  22 (mod 26), Invertierbar: false
Schlüssel # 96 gefunden: {a11 =  3, a12 = 22, a21 = 17, a22 = 15}, Determinante: -329 =   9 (mod 26), Invertierbar:  true
Schlüssel # 97 gefunden: {a11 =  3, a12 = 22, a21 = 19, a22 =  5}, Determinante: -403 =  13 (mod 26), Invertierbar: false
Schlüssel # 98 gefunden: {a11 =  3, a12 = 22, a21 = 19, a22 = 18}, Determinante: -364 =   0 (mod 26), Invertierbar: false
Schlüssel # 99 gefunden: {a11 =  3, a12 = 22, a21 = 21, a22 =  8}, Determinante: -438 =   4 (mod 26), Invertierbar: false
Schlüssel #100 gefunden: {a11 =  3, a12 = 22, a21 = 21, a22 = 21}, Determinante: -399 =  17 (mod 26), Invertierbar:  true
Schlüssel #101 gefunden: {a11 =  3, a12 = 22, a21 = 23, a22 = 11}, Determinante: -473 =  21 (mod 26), Invertierbar:  true
Schlüssel #102 gefunden: {a11 =  3, a12 = 22, a21 = 23, a22 = 24}, Determinante: -434 =   8 (mod 26), Invertierbar: false
Schlüssel #103 gefunden: {a11 =  3, a12 = 22, a21 = 25, a22 =  1}, Determinante: -547 =  25 (mod 26), Invertierbar:  true
Schlüssel #104 gefunden: {a11 =  3, a12 = 22, a21 = 25, a22 = 14}, Determinante: -508 =  12 (mod 26), Invertierbar: false

Fortschritt: i:  4, j:  6, k: 24, l: 16, keyCounter: 75.000
Schlüssel #105 gefunden: {a11 =  5, a12 = 12, a21 =  1, a22 =  4}, Determinante:    8 =   8 (mod 26), Invertierbar: false
Schlüssel #106 gefunden: {a11 =  5, a12 = 12, a21 =  1, a22 = 17}, Determinante:   73 =  21 (mod 26), Invertierbar:  true
Schlüssel #107 gefunden: {a11 =  5, a12 = 12, a21 =  3, a22 =  7}, Determinante:   -1 =  25 (mod 26), Invertierbar:  true
Schlüssel #108 gefunden: {a11 =  5, a12 = 12, a21 =  3, a22 = 20}, Determinante:   64 =  12 (mod 26), Invertierbar: false
Schlüssel #109 gefunden: {a11 =  5, a12 = 12, a21 =  5, a22 = 10}, Determinante:  -10 =  16 (mod 26), Invertierbar: false
Schlüssel #110 gefunden: {a11 =  5, a12 = 12, a21 =  5, a22 = 23}, Determinante:   55 =   3 (mod 26), Invertierbar:  true
Schlüssel #111 gefunden: {a11 =  5, a12 = 12, a21 =  7, a22 =  0}, Determinante:  -84 =  20 (mod 26), Invertierbar: false
Schlüssel #112 gefunden: {a11 =  5, a12 = 12, a21 =  7, a22 = 13}, Determinante:  -19 =   7 (mod 26), Invertierbar:  true
Schlüssel #113 gefunden: {a11 =  5, a12 = 12, a21 =  9, a22 =  3}, Determinante:  -93 =  11 (mod 26), Invertierbar:  true
Schlüssel #114 gefunden: {a11 =  5, a12 = 12, a21 =  9, a22 = 16}, Determinante:  -28 =  24 (mod 26), Invertierbar: false
Schlüssel #115 gefunden: {a11 =  5, a12 = 12, a21 = 11, a22 =  6}, Determinante: -102 =   2 (mod 26), Invertierbar: false
Schlüssel #116 gefunden: {a11 =  5, a12 = 12, a21 = 11, a22 = 19}, Determinante:  -37 =  15 (mod 26), Invertierbar:  true
Schlüssel #117 gefunden: {a11 =  5, a12 = 12, a21 = 13, a22 =  9}, Determinante: -111 =  19 (mod 26), Invertierbar:  true
Schlüssel #118 gefunden: {a11 =  5, a12 = 12, a21 = 13, a22 = 22}, Determinante:  -46 =   6 (mod 26), Invertierbar: false
Schlüssel #119 gefunden: {a11 =  5, a12 = 12, a21 = 15, a22 = 12}, Determinante: -120 =  10 (mod 26), Invertierbar: false
Schlüssel #120 gefunden: {a11 =  5, a12 = 12, a21 = 15, a22 = 25}, Determinante:  -55 =  23 (mod 26), Invertierbar:  true
Schlüssel #121 gefunden: {a11 =  5, a12 = 12, a21 = 17, a22 =  2}, Determinante: -194 =  14 (mod 26), Invertierbar: false
Schlüssel #122 gefunden: {a11 =  5, a12 = 12, a21 = 17, a22 = 15}, Determinante: -129 =   1 (mod 26), Invertierbar:  true
Schlüssel #123 gefunden: {a11 =  5, a12 = 12, a21 = 19, a22 =  5}, Determinante: -203 =   5 (mod 26), Invertierbar:  true
Schlüssel #124 gefunden: {a11 =  5, a12 = 12, a21 = 19, a22 = 18}, Determinante: -138 =  18 (mod 26), Invertierbar: false
Schlüssel #125 gefunden: {a11 =  5, a12 = 12, a21 = 21, a22 =  8}, Determinante: -212 =  22 (mod 26), Invertierbar: false
Schlüssel #126 gefunden: {a11 =  5, a12 = 12, a21 = 21, a22 = 21}, Determinante: -147 =   9 (mod 26), Invertierbar:  true
Schlüssel #127 gefunden: {a11 =  5, a12 = 12, a21 = 23, a22 = 11}, Determinante: -221 =  13 (mod 26), Invertierbar: false
Schlüssel #128 gefunden: {a11 =  5, a12 = 12, a21 = 23, a22 = 24}, Determinante: -156 =   0 (mod 26), Invertierbar: false
Schlüssel #129 gefunden: {a11 =  5, a12 = 12, a21 = 25, a22 =  1}, Determinante: -295 =  17 (mod 26), Invertierbar:  true
Schlüssel #130 gefunden: {a11 =  5, a12 = 12, a21 = 25, a22 = 14}, Determinante: -230 =   4 (mod 26), Invertierbar: false
Schlüssel #131 gefunden: {a11 =  5, a12 = 25, a21 =  1, a22 =  4}, Determinante:   -5 =  21 (mod 26), Invertierbar:  true
Schlüssel #132 gefunden: {a11 =  5, a12 = 25, a21 =  1, a22 = 17}, Determinante:   60 =   8 (mod 26), Invertierbar: false
Schlüssel #133 gefunden: {a11 =  5, a12 = 25, a21 =  3, a22 =  7}, Determinante:  -40 =  12 (mod 26), Invertierbar: false
Schlüssel #134 gefunden: {a11 =  5, a12 = 25, a21 =  3, a22 = 20}, Determinante:   25 =  25 (mod 26), Invertierbar:  true
Schlüssel #135 gefunden: {a11 =  5, a12 = 25, a21 =  5, a22 = 10}, Determinante:  -75 =   3 (mod 26), Invertierbar:  true
Schlüssel #136 gefunden: {a11 =  5, a12 = 25, a21 =  5, a22 = 23}, Determinante:  -10 =  16 (mod 26), Invertierbar: false
Schlüssel #137 gefunden: {a11 =  5, a12 = 25, a21 =  7, a22 =  0}, Determinante: -175 =   7 (mod 26), Invertierbar:  true
Schlüssel #138 gefunden: {a11 =  5, a12 = 25, a21 =  7, a22 = 13}, Determinante: -110 =  20 (mod 26), Invertierbar: false
Schlüssel #139 gefunden: {a11 =  5, a12 = 25, a21 =  9, a22 =  3}, Determinante: -210 =  24 (mod 26), Invertierbar: false
Schlüssel #140 gefunden: {a11 =  5, a12 = 25, a21 =  9, a22 = 16}, Determinante: -145 =  11 (mod 26), Invertierbar:  true
Schlüssel #141 gefunden: {a11 =  5, a12 = 25, a21 = 11, a22 =  6}, Determinante: -245 =  15 (mod 26), Invertierbar:  true
Schlüssel #142 gefunden: {a11 =  5, a12 = 25, a21 = 11, a22 = 19}, Determinante: -180 =   2 (mod 26), Invertierbar: false
Schlüssel #143 gefunden: {a11 =  5, a12 = 25, a21 = 13, a22 =  9}, Determinante: -280 =   6 (mod 26), Invertierbar: false
Schlüssel #144 gefunden: {a11 =  5, a12 = 25, a21 = 13, a22 = 22}, Determinante: -215 =  19 (mod 26), Invertierbar:  true
Schlüssel #145 gefunden: {a11 =  5, a12 = 25, a21 = 15, a22 = 12}, Determinante: -315 =  23 (mod 26), Invertierbar:  true
Schlüssel #146 gefunden: {a11 =  5, a12 = 25, a21 = 15, a22 = 25}, Determinante: -250 =  10 (mod 26), Invertierbar: false
Schlüssel #147 gefunden: {a11 =  5, a12 = 25, a21 = 17, a22 =  2}, Determinante: -415 =   1 (mod 26), Invertierbar:  true
Schlüssel #148 gefunden: {a11 =  5, a12 = 25, a21 = 17, a22 = 15}, Determinante: -350 =  14 (mod 26), Invertierbar: false
Schlüssel #149 gefunden: {a11 =  5, a12 = 25, a21 = 19, a22 =  5}, Determinante: -450 =  18 (mod 26), Invertierbar: false
Schlüssel #150 gefunden: {a11 =  5, a12 = 25, a21 = 19, a22 = 18}, Determinante: -385 =   5 (mod 26), Invertierbar:  true
Schlüssel #151 gefunden: {a11 =  5, a12 = 25, a21 = 21, a22 =  8}, Determinante: -485 =   9 (mod 26), Invertierbar:  true
Schlüssel #152 gefunden: {a11 =  5, a12 = 25, a21 = 21, a22 = 21}, Determinante: -420 =  22 (mod 26), Invertierbar: false
Schlüssel #153 gefunden: {a11 =  5, a12 = 25, a21 = 23, a22 = 11}, Determinante: -520 =   0 (mod 26), Invertierbar: false
Schlüssel #154 gefunden: {a11 =  5, a12 = 25, a21 = 23, a22 = 24}, Determinante: -455 =  13 (mod 26), Invertierbar: false
Schlüssel #155 gefunden: {a11 =  5, a12 = 25, a21 = 25, a22 =  1}, Determinante: -620 =   4 (mod 26), Invertierbar: false
Schlüssel #156 gefunden: {a11 =  5, a12 = 25, a21 = 25, a22 = 14}, Determinante: -555 =  17 (mod 26), Invertierbar:  true
Schlüssel #157 gefunden: {a11 =  7, a12 =  2, a21 =  1, a22 =  4}, Determinante:   26 =   0 (mod 26), Invertierbar: false
Schlüssel #158 gefunden: {a11 =  7, a12 =  2, a21 =  1, a22 = 17}, Determinante:  117 =  13 (mod 26), Invertierbar: false
Schlüssel #159 gefunden: {a11 =  7, a12 =  2, a21 =  3, a22 =  7}, Determinante:   43 =  17 (mod 26), Invertierbar:  true
Schlüssel #160 gefunden: {a11 =  7, a12 =  2, a21 =  3, a22 = 20}, Determinante:  134 =   4 (mod 26), Invertierbar: false
Schlüssel #161 gefunden: {a11 =  7, a12 =  2, a21 =  5, a22 = 10}, Determinante:   60 =   8 (mod 26), Invertierbar: false
Schlüssel #162 gefunden: {a11 =  7, a12 =  2, a21 =  5, a22 = 23}, Determinante:  151 =  21 (mod 26), Invertierbar:  true
Schlüssel #163 gefunden: {a11 =  7, a12 =  2, a21 =  7, a22 =  0}, Determinante:  -14 =  12 (mod 26), Invertierbar: false
Schlüssel #164 gefunden: {a11 =  7, a12 =  2, a21 =  7, a22 = 13}, Determinante:   77 =  25 (mod 26), Invertierbar:  true
Schlüssel #165 gefunden: {a11 =  7, a12 =  2, a21 =  9, a22 =  3}, Determinante:    3 =   3 (mod 26), Invertierbar:  true
Schlüssel #166 gefunden: {a11 =  7, a12 =  2, a21 =  9, a22 = 16}, Determinante:   94 =  16 (mod 26), Invertierbar: false
Schlüssel #167 gefunden: {a11 =  7, a12 =  2, a21 = 11, a22 =  6}, Determinante:   20 =  20 (mod 26), Invertierbar: false
Schlüssel #168 gefunden: {a11 =  7, a12 =  2, a21 = 11, a22 = 19}, Determinante:  111 =   7 (mod 26), Invertierbar:  true
Schlüssel #169 gefunden: {a11 =  7, a12 =  2, a21 = 13, a22 =  9}, Determinante:   37 =  11 (mod 26), Invertierbar:  true
Schlüssel #170 gefunden: {a11 =  7, a12 =  2, a21 = 13, a22 = 22}, Determinante:  128 =  24 (mod 26), Invertierbar: false
Schlüssel #171 gefunden: {a11 =  7, a12 =  2, a21 = 15, a22 = 12}, Determinante:   54 =   2 (mod 26), Invertierbar: false
Schlüssel #172 gefunden: {a11 =  7, a12 =  2, a21 = 15, a22 = 25}, Determinante:  145 =  15 (mod 26), Invertierbar:  true
